Place Name,CSOED,PD,LUX
"019 Harristown, Co. Kildare",06019,23.2,-13.509690668
"020 Inchaquire, Co. Kildare",06020,19,-13.65713444
"021 Johnstown, Co. Kildare",06021,19.9,-13.625539346
"022 Kilberry, Co. Kildare",06022,38.2,-12.983105768
"023 Kildangan, Co. Kildare",06023,49.5,-12.58641181
"024 Kilkea, Co. Kildare",06024,21.6,-13.565859724
"025 Kilrush, Co. Kildare",06025,37.9,-12.993637466
"026 Lackagh, Co. Kildare",06026,34,-13.13054954
"027 Monasterevin, Co. Kildare",06027,182.3,-7.924380162
"028 Moone, Co. Kildare",06028,27.9,-13.344694066
"029 Narraghmore, Co. Kildare",06029,49.1,-12.600454074
"030 Nurney, Co. Kildare",06030,86.8,-11.276970692
"031 Quinsborough, Co. Kildare",06031,11.3,-13.927448022
"032 Skerries, Co. Kildare",06032,44.3,-12.768961242
"033 Balraheen, Co. Kildare",06033,72.7,-11.771960498
"034 Celbridge, Co. Kildare",06034,902.1,17.344673906
"035 Cloncurry, Co. Kildare",06035,46.5,-12.69172879
"036 Donadea, Co. Kildare",06036,39,-12.95502124
"037 Donaghcumper, Co. Kildare",06037,264.1,-5.052737174
"038 Kilcock, Co. Kildare",06038,428.3,0.711612198000001
"039 Leixlip, Co. Kildare",06039,1398,34.7535707
"040 Maynooth, Co. Kildare",06040,481.4,2.575722744
"041 Straffan, Co. Kildare",06041,79.1,-11.547284274
