 Electoral_Area,PD
"044 Coolcraheen, Co. Kilkenny",24.5
"045 Dunbell, Co. Kilkenny",22.4
"046 Dunmore, Co. Kilkenny",47.7
"047 Freshford, Co. Kilkenny",46.5
"048 Gowran, Co. Kilkenny",59.1
"049 Grange, Co. Kilkenny",45.5
"050 Kilkenny Rural, Co. Kilkenny",449.2
"051 Kilkieran, Co. Kilkenny",29
"052 Odagh, Co. Kilkenny",25.5
"053 Outrath, Co. Kilkenny",39.8
"054 Paulstown, Co. Kilkenny",71.4
"055 Rathcoole, Co. Kilkenny",21.2
"056 Rathealy, Co. Kilkenny",15.7
"057 St. Canice, Co. Kilkenny",28.5
"058 Shankill, Co. Kilkenny",32.2
"059 Tiscoffin, Co. Kilkenny",21.4
"060 Tullaroan, Co. Kilkenny",19
"061 Aghaviller, Co. Kilkenny",24.1
"062 Ballyhale, Co. Kilkenny",50.1
"063 Ballyvool, Co. Kilkenny",16.1
"064 Bennettsbridge, Co. Kilkenny",57.8
"065 Bramblestown, Co. Kilkenny",20.5
"066 Castlebanny, Co. Kilkenny",10.9
"067 Castlegannon, Co. Kilkenny",9.7
"068 Coolhill, Co. Kilkenny",16.7
"069 Danesfort, Co. Kilkenny",31.3
"070 Ennisnag, Co. Kilkenny",45.5
"071 Famma, Co. Kilkenny",16.2
"072 Freaghana, Co. Kilkenny",10.8
"073 Goresbridge, Co. Kilkenny",52.9
"074 Graiguenamanagh, Co. Kilkenny",56.9
"075 Inistioge, Co. Kilkenny",30.7
"076 Jerpoint Church, Co. Kilkenny",56.3
"077 Kilfane, Co. Kilkenny",17.5
"078 Kilkeasy, Co. Kilkenny",18.9
"079 Kiltorcan, Co. Kilkenny",17.7
"080 Knocktopher, Co. Kilkenny",35.2
"081 Pleberstown, Co. Kilkenny",13.6
"082 Powerstown, Co. Kilkenny",24.3
"083 Stonyford, Co. Kilkenny",41.7
"084 Thomastown, Co. Kilkenny",113.5
"085 Tullaherin, Co. Kilkenny",21.8
"086 Ullard, Co. Kilkenny",19
"087 Woolengrange, Co. Kilkenny",26.6
